年份,行业代码,行业名称,指标,均值,样本量
2001,C,制造业,SLoan（短期借款比率）,,0
2001,C,制造业,LLoan（长期借款比率）,,0
2001,C,制造业,Lev（总负债率）,,0
2001,C,制造业,Cash（现金比率）,,0
2001,C,制造业,TA（总资产，元）,,0
2001,C,制造业,TE（净资产，元）,,0
2001,D,电力热力燃气,SLoan（短期借款比率）,,0
2001,D,电力热力燃气,LLoan（长期借款比率）,,0
2001,D,电力热力燃气,Lev（总负债率）,,0
2001,D,电力热力燃气,Cash（现金比率）,,0
2001,D,电力热力燃气,TA（总资产，元）,,0
2001,D,电力热力燃气,TE（净资产，元）,,0
2001,G,交通运输,SLoan（短期借款比率）,,0
2001,G,交通运输,LLoan（长期借款比率）,,0
2001,G,交通运输,Lev（总负债率）,,0
2001,G,交通运输,Cash（现金比率）,,0
2001,G,交通运输,TA（总资产，元）,,0
2001,G,交通运输,TE（净资产，元）,,0
2001,E,建筑业,SLoan（短期借款比率）,,0
2001,E,建筑业,LLoan（长期借款比率）,,0
2001,E,建筑业,Lev（总负债率）,,0
2001,E,建筑业,Cash（现金比率）,,0
2001,E,建筑业,TA（总资产，元）,,0
2001,E,建筑业,TE（净资产，元）,,0
2001,K,房地产业,SLoan（短期借款比率）,,0
2001,K,房地产业,LLoan（长期借款比率）,,0
2001,K,房地产业,Lev（总负债率）,,0
2001,K,房地产业,Cash（现金比率）,,0
2001,K,房地产业,TA（总资产，元）,,0
2001,K,房地产业,TE（净资产，元）,,0
2001,F,批发零售,SLoan（短期借款比率）,,0
2001,F,批发零售,LLoan（长期借款比率）,,0
2001,F,批发零售,Lev（总负债率）,,0
2001,F,批发零售,Cash（现金比率）,,0
2001,F,批发零售,TA（总资产，元）,,0
2001,F,批发零售,TE（净资产，元）,,0
2001,J,金融业,SLoan（短期借款比率）,,0
2001,J,金融业,LLoan（长期借款比率）,,0
2001,J,金融业,Lev（总负债率）,,0
2001,J,金融业,Cash（现金比率）,,0
2001,J,金融业,TA（总资产，元）,,0
2001,J,金融业,TE（净资产，元）,,0
2003,C,制造业,SLoan（短期借款比率）,,0
2003,C,制造业,LLoan（长期借款比率）,,0
2003,C,制造业,Lev（总负债率）,,0
2003,C,制造业,Cash（现金比率）,,0
2003,C,制造业,TA（总资产，元）,,0
2003,C,制造业,TE（净资产，元）,,0
2003,D,电力热力燃气,SLoan（短期借款比率）,,0
2003,D,电力热力燃气,LLoan（长期借款比率）,,0
2003,D,电力热力燃气,Lev（总负债率）,,0
2003,D,电力热力燃气,Cash（现金比率）,,0
2003,D,电力热力燃气,TA（总资产，元）,,0
2003,D,电力热力燃气,TE（净资产，元）,,0
2003,G,交通运输,SLoan（短期借款比率）,,0
2003,G,交通运输,LLoan（长期借款比率）,,0
2003,G,交通运输,Lev（总负债率）,,0
2003,G,交通运输,Cash（现金比率）,,0
2003,G,交通运输,TA（总资产，元）,,0
2003,G,交通运输,TE（净资产，元）,,0
2003,E,建筑业,SLoan（短期借款比率）,,0
2003,E,建筑业,LLoan（长期借款比率）,,0
2003,E,建筑业,Lev（总负债率）,,0
2003,E,建筑业,Cash（现金比率）,,0
2003,E,建筑业,TA（总资产，元）,,0
2003,E,建筑业,TE（净资产，元）,,0
2003,K,房地产业,SLoan（短期借款比率）,,0
2003,K,房地产业,LLoan（长期借款比率）,,0
2003,K,房地产业,Lev（总负债率）,,0
2003,K,房地产业,Cash（现金比率）,,0
2003,K,房地产业,TA（总资产，元）,,0
2003,K,房地产业,TE（净资产，元）,,0
2003,F,批发零售,SLoan（短期借款比率）,,0
2003,F,批发零售,LLoan（长期借款比率）,,0
2003,F,批发零售,Lev（总负债率）,,0
2003,F,批发零售,Cash（现金比率）,,0
2003,F,批发零售,TA（总资产，元）,,0
2003,F,批发零售,TE（净资产，元）,,0
2003,J,金融业,SLoan（短期借款比率）,,0
2003,J,金融业,LLoan（长期借款比率）,,0
2003,J,金融业,Lev（总负债率）,,0
2003,J,金融业,Cash（现金比率）,,0
2003,J,金融业,TA（总资产，元）,,0
2003,J,金融业,TE（净资产，元）,,0
2005,C,制造业,SLoan（短期借款比率）,,0
2005,C,制造业,LLoan（长期借款比率）,,0
2005,C,制造业,Lev（总负债率）,,0
2005,C,制造业,Cash（现金比率）,,0
2005,C,制造业,TA（总资产，元）,,0
2005,C,制造业,TE（净资产，元）,,0
2005,D,电力热力燃气,SLoan（短期借款比率）,,0
2005,D,电力热力燃气,LLoan（长期借款比率）,,0
2005,D,电力热力燃气,Lev（总负债率）,,0
2005,D,电力热力燃气,Cash（现金比率）,,0
2005,D,电力热力燃气,TA（总资产，元）,,0
2005,D,电力热力燃气,TE（净资产，元）,,0
2005,G,交通运输,SLoan（短期借款比率）,,0
2005,G,交通运输,LLoan（长期借款比率）,,0
2005,G,交通运输,Lev（总负债率）,,0
2005,G,交通运输,Cash（现金比率）,,0
2005,G,交通运输,TA（总资产，元）,,0
2005,G,交通运输,TE（净资产，元）,,0
2005,E,建筑业,SLoan（短期借款比率）,,0
2005,E,建筑业,LLoan（长期借款比率）,,0
2005,E,建筑业,Lev（总负债率）,,0
2005,E,建筑业,Cash（现金比率）,,0
2005,E,建筑业,TA（总资产，元）,,0
2005,E,建筑业,TE（净资产，元）,,0
2005,K,房地产业,SLoan（短期借款比率）,,0
2005,K,房地产业,LLoan（长期借款比率）,,0
2005,K,房地产业,Lev（总负债率）,,0
2005,K,房地产业,Cash（现金比率）,,0
2005,K,房地产业,TA（总资产，元）,,0
2005,K,房地产业,TE（净资产，元）,,0
2005,F,批发零售,SLoan（短期借款比率）,,0
2005,F,批发零售,LLoan（长期借款比率）,,0
2005,F,批发零售,Lev（总负债率）,,0
2005,F,批发零售,Cash（现金比率）,,0
2005,F,批发零售,TA（总资产，元）,,0
2005,F,批发零售,TE（净资产，元）,,0
2005,J,金融业,SLoan（短期借款比率）,,0
2005,J,金融业,LLoan（长期借款比率）,,0
2005,J,金融业,Lev（总负债率）,,0
2005,J,金融业,Cash（现金比率）,,0
2005,J,金融业,TA（总资产，元）,,0
2005,J,金融业,TE（净资产，元）,,0
2007,C,制造业,SLoan（短期借款比率）,,0
2007,C,制造业,LLoan（长期借款比率）,,0
2007,C,制造业,Lev（总负债率）,,0
2007,C,制造业,Cash（现金比率）,,0
2007,C,制造业,TA（总资产，元）,,0
2007,C,制造业,TE（净资产，元）,,0
2007,D,电力热力燃气,SLoan（短期借款比率）,,0
2007,D,电力热力燃气,LLoan（长期借款比率）,,0
2007,D,电力热力燃气,Lev（总负债率）,,0
2007,D,电力热力燃气,Cash（现金比率）,,0
2007,D,电力热力燃气,TA（总资产，元）,,0
2007,D,电力热力燃气,TE（净资产，元）,,0
2007,G,交通运输,SLoan（短期借款比率）,,0
2007,G,交通运输,LLoan（长期借款比率）,,0
2007,G,交通运输,Lev（总负债率）,,0
2007,G,交通运输,Cash（现金比率）,,0
2007,G,交通运输,TA（总资产，元）,,0
2007,G,交通运输,TE（净资产，元）,,0
2007,E,建筑业,SLoan（短期借款比率）,,0
2007,E,建筑业,LLoan（长期借款比率）,,0
2007,E,建筑业,Lev（总负债率）,,0
2007,E,建筑业,Cash（现金比率）,,0
2007,E,建筑业,TA（总资产，元）,,0
2007,E,建筑业,TE（净资产，元）,,0
2007,K,房地产业,SLoan（短期借款比率）,,0
2007,K,房地产业,LLoan（长期借款比率）,,0
2007,K,房地产业,Lev（总负债率）,,0
2007,K,房地产业,Cash（现金比率）,,0
2007,K,房地产业,TA（总资产，元）,,0
2007,K,房地产业,TE（净资产，元）,,0
2007,F,批发零售,SLoan（短期借款比率）,,0
2007,F,批发零售,LLoan（长期借款比率）,,0
2007,F,批发零售,Lev（总负债率）,,0
2007,F,批发零售,Cash（现金比率）,,0
2007,F,批发零售,TA（总资产，元）,,0
2007,F,批发零售,TE（净资产，元）,,0
2007,J,金融业,SLoan（短期借款比率）,,0
2007,J,金融业,LLoan（长期借款比率）,,0
2007,J,金融业,Lev（总负债率）,,0
2007,J,金融业,Cash（现金比率）,,0
2007,J,金融业,TA（总资产，元）,,0
2007,J,金融业,TE（净资产，元）,,0
2009,C,制造业,SLoan（短期借款比率）,,0
2009,C,制造业,LLoan（长期借款比率）,,0
2009,C,制造业,Lev（总负债率）,,0
2009,C,制造业,Cash（现金比率）,,0
2009,C,制造业,TA（总资产，元）,,0
2009,C,制造业,TE（净资产，元）,,0
2009,D,电力热力燃气,SLoan（短期借款比率）,,0
2009,D,电力热力燃气,LLoan（长期借款比率）,,0
2009,D,电力热力燃气,Lev（总负债率）,,0
2009,D,电力热力燃气,Cash（现金比率）,,0
2009,D,电力热力燃气,TA（总资产，元）,,0
2009,D,电力热力燃气,TE（净资产，元）,,0
2009,G,交通运输,SLoan（短期借款比率）,,0
2009,G,交通运输,LLoan（长期借款比率）,,0
2009,G,交通运输,Lev（总负债率）,,0
2009,G,交通运输,Cash（现金比率）,,0
2009,G,交通运输,TA（总资产，元）,,0
2009,G,交通运输,TE（净资产，元）,,0
2009,E,建筑业,SLoan（短期借款比率）,,0
2009,E,建筑业,LLoan（长期借款比率）,,0
2009,E,建筑业,Lev（总负债率）,,0
2009,E,建筑业,Cash（现金比率）,,0
2009,E,建筑业,TA（总资产，元）,,0
2009,E,建筑业,TE（净资产，元）,,0
2009,K,房地产业,SLoan（短期借款比率）,,0
2009,K,房地产业,LLoan（长期借款比率）,,0
2009,K,房地产业,Lev（总负债率）,,0
2009,K,房地产业,Cash（现金比率）,,0
2009,K,房地产业,TA（总资产，元）,,0
2009,K,房地产业,TE（净资产，元）,,0
2009,F,批发零售,SLoan（短期借款比率）,,0
2009,F,批发零售,LLoan（长期借款比率）,,0
2009,F,批发零售,Lev（总负债率）,,0
2009,F,批发零售,Cash（现金比率）,,0
2009,F,批发零售,TA（总资产，元）,,0
2009,F,批发零售,TE（净资产，元）,,0
2009,J,金融业,SLoan（短期借款比率）,,0
2009,J,金融业,LLoan（长期借款比率）,,0
2009,J,金融业,Lev（总负债率）,,0
2009,J,金融业,Cash（现金比率）,,0
2009,J,金融业,TA（总资产，元）,,0
2009,J,金融业,TE（净资产，元）,,0
2011,C,制造业,SLoan（短期借款比率）,0.11949864046288437,1446
2011,C,制造业,LLoan（长期借款比率）,0.03532388884435643,1430
2011,C,制造业,Lev（总负债率）,0.4115750034329563,1446
2011,C,制造业,Cash（现金比率）,0.0016712737803610228,1401
2011,C,制造业,TA（总资产，元）,6008090317.258003,1443
2011,C,制造业,TE（净资产，元）,2684281094.9502606,1420
2011,D,电力热力燃气,SLoan（短期借款比率）,0.13416049167954539,66
2011,D,电力热力燃气,LLoan（长期借款比率）,0.21999302035240859,66
2011,D,电力热力燃气,Lev（总负债率）,0.6158241193942874,66
2011,D,电力热力燃气,Cash（现金比率）,0.004740709679971132,62
2011,D,电力热力燃气,TA（总资产，元）,25286462891.192123,66
2011,D,电力热力燃气,TE（净资产，元）,7254766892.054615,65
2011,G,交通运输,SLoan（短期借款比率）,0.05595295092541476,189
2011,G,交通运输,LLoan（长期借款比率）,0.02203100747043109,187
2011,G,交通运输,Lev（总负债率）,0.30860155723222804,189
2011,G,交通运输,Cash（现金比率）,0.0019285092924341124,187
2011,G,交通运输,TA（总资产，元）,5599298799.536084,189
2011,G,交通运输,TE（净资产，元）,2686170202.4723115,186
2011,E,建筑业,SLoan（短期借款比率）,0.10918548640903743,52
2011,E,建筑业,LLoan（长期借款比率）,0.07833831288797363,51
2011,E,建筑业,Lev（总负债率）,0.6557559514057393,52
2011,E,建筑业,Cash（现金比率）,0.0003372892855257642,50
2011,E,建筑业,TA（总资产，元）,46680085487.28607,51
2011,E,建筑业,TE（净资产，元）,9565234987.763138,51
2011,K,房地产业,SLoan（短期借款比率）,0.07482473752629488,69
2011,K,房地产业,LLoan（长期借款比率）,0.06515342397602067,68
2011,K,房地产业,Lev（总负债率）,0.39807531696041554,69
2011,K,房地产业,Cash（现金比率）,0.00023103433235716517,66
2011,K,房地产业,TA（总资产，元）,5725137929.331739,69
2011,K,房地产业,TE（净资产，元）,2584046355.480145,69
2011,F,批发零售,SLoan（短期借款比率）,0.076425914490249,76
2011,F,批发零售,LLoan（长期借款比率）,0.12541859102836142,71
2011,F,批发零售,Lev（总负债率）,0.4552917650470672,76
2011,F,批发零售,Cash（现金比率）,0.014717650209713915,63
2011,F,批发零售,TA（总资产，元）,21127069776.52605,76
2011,F,批发零售,TE（净资产，元）,9263004850.022799,75
2011,J,金融业,SLoan（短期借款比率）,0.061197370011649994,69
2011,J,金融业,LLoan（长期借款比率）,0.13049988058243187,68
2011,J,金融业,Lev（总负债率）,0.6105362115120747,69
2011,J,金融业,Cash（现金比率）,0.0010213402869488797,62
2011,J,金融业,TA（总资产，元）,19582976221.193188,69
2011,J,金融业,TE（净资产，元）,5669792020.584412,68
2013,C,制造业,SLoan（短期借款比率）,0.1160576190809485,1559
2013,C,制造业,LLoan（长期借款比率）,0.03540962722491066,1559
2013,C,制造业,Lev（总负债率）,0.42084998283291203,1559
2013,C,制造业,Cash（现金比率）,0.0020307521308388483,1559
2013,C,制造业,TA（总资产，元）,7213854797.557653,1556
2013,C,制造业,TE（净资产，元）,3104277762.5977163,1550
2013,D,电力热力燃气,SLoan（短期借款比率）,0.11034319484834403,69
2013,D,电力热力燃气,LLoan（长期借款比率）,0.17714612552297795,69
2013,D,电力热力燃气,Lev（总负债率）,0.5774753839689374,69
2013,D,电力热力燃气,Cash（现金比率）,0.002442544331366415,69
2013,D,电力热力燃气,TA（总资产，元）,30319171494.062176,69
2013,D,电力热力燃气,TE（净资产，元）,9890053358.80739,69
2013,G,交通运输,SLoan（短期借款比率）,0.07199588748980294,202
2013,G,交通运输,LLoan（长期借款比率）,0.02328513550604696,202
2013,G,交通运输,Lev（总负债率）,0.34256468912114785,202
2013,G,交通运输,Cash（现金比率）,0.00426415273114976,202
2013,G,交通运输,TA（总资产，元）,6466331139.344678,201
2013,G,交通运输,TE（净资产，元）,2886147534.0511937,201
2013,E,建筑业,SLoan（短期借款比率）,0.11051415542783576,55
2013,E,建筑业,LLoan（长期借款比率）,0.09268646420515096,55
2013,E,建筑业,Lev（总负债率）,0.6999589221393884,55
2013,E,建筑业,Cash（现金比率）,0.0030089799848345353,55
2013,E,建筑业,TA（总资产，元）,69716515201.028,55
2013,E,建筑业,TE（净资产，元）,13277357839.228363,55
2013,K,房地产业,SLoan（短期借款比率）,0.0778476781564233,70
2013,K,房地产业,LLoan（长期借款比率）,0.06280803207336434,70
2013,K,房地产业,Lev（总负债率）,0.4271480780204403,70
2013,K,房地产业,Cash（现金比率）,0.00031414764063720146,70
2013,K,房地产业,TA（总资产，元）,7572976496.315,70
2013,K,房地产业,TE（净资产，元）,3251480913.1168566,70
2013,F,批发零售,SLoan（短期借款比率）,0.07505712056831439,80
2013,F,批发零售,LLoan（长期借款比率）,0.11593391094573642,80
2013,F,批发零售,Lev（总负债率）,0.47545719628752625,80
2013,F,批发零售,Cash（现金比率）,0.004226786705065903,80
2013,F,批发零售,TA（总资产，元）,24124557602.6045,80
2013,F,批发零售,TE（净资产，元）,9983936931.989874,79
2013,J,金融业,SLoan（短期借款比率）,0.07093808217510256,70
2013,J,金融业,LLoan（长期借款比率）,0.16573397466108905,70
2013,J,金融业,Lev（总负债率）,0.6415116331888348,70
2013,J,金融业,Cash（现金比率）,0.002900658955180934,70
2013,J,金融业,TA（总资产，元）,28792172162.90971,70
2013,J,金融业,TE（净资产，元）,7578431899.372287,70
2015,C,制造业,SLoan（短期借款比率）,0.10232879336347993,1802
2015,C,制造业,LLoan（长期借款比率）,0.031095004256114264,1802
